學年度,設立別,學校類別,學校統計處代碼,學校名稱,當學年度全校總量內核定新生招生名額(A),當學年度全校新生保留入學資格人數(B),當學年度全校總量內新生招生核定名額之實際註冊人數(C),當學年度全校境外(新生)學生實際註冊人數(D),當學年度全校新生註冊率(％)E=〔(C+D)/(A-B+D)〕*100％,當學年度全校招生特色說明
113,公立,一般大學,0001,國立政治大學,4158,9,4030,321,97.34,"本校是臺灣最具人文與社會科學特色之綜合大學,致力於國際化及多元文化環境下,以培育具備跨領域多元知能、兼具本土扎根與國際視野的人才為重要使命。2023年遠見雜誌企業最愛大學排行榜,本校名列第7名,2023年亞洲大學QS排名,本校再入百大且仍為國際交換生首選。本校推動低門檻修習雙輔修措施,另有學分學程、選修外系課程與ETP全英語課程供學生自主選修；與陽明大學、臺北藝術大學,簽訂學術合作,提供校際選課；2021年加入台聯大系統,與陽明交通大學、清華大學及中央大學整合資源,提供學生跨校選課及圖書資源。本校與全球 500 餘所知名大學簽署超過 800 多項合作協議,遍及五大洲,並鼓勵師生出國交換進修及打造多語學習環境,本校全球傑出校友超過 10 萬人,於政府部門、企業界或藝術媒體界皆位居牛耳並具重要社會影響。"
113,公立,一般大學,0002,國立清華大學,4698,43,4694,438,100.00,"一、本校設有各類獎學金,特色獎學金如：還願獎學金、逐夢獎學金,兩者申請皆金額不限,申請不需成績優異、不限申請次數。二、本校致力開發多種跨領域學習課程,設30多個跨院系學分學程,提供更為多元化及客制化學習機會。三、本校在多項學術指標如：國內大學學術聲譽排名、理工學院聲譽排名、最佳研究所排名、國內企業最愛的大學生等評比上均名列前茅,為國內頂尖學府。2018年英國QS世界大學排名,本校躍升至161名,其排名各項指標表現為全國數一數二之成績。四、本校提供新生各管道入學之低收、中低收及特殊境遇家庭子女「旭日獎學金」,入學後得依相關要點提出申請,經審議通過後核發,獎學金每年申請一次,最多四年。五、本校致力推動全球化,目前本校簽有學術合作合約之大學／學術機構共計有220多所。在雙聯學位部分,本校有與瑞典林雪平大學、香港科技大學、大陸北京清華大學及英國利物浦大學等世界多所知名大學合作且陸續增加中。"
113,公立,一般大學,0003,國立臺灣大學,8704,14,8647,752,99.54,"本校目前有17個學院(含進修推廣學院、共同教育中心、重點科技研究學院、國際政經學院及2功能性學院),以及牙醫、藥學、獸醫3個專業學院,計有61學系(含5學士學位學程),152研究所(含39碩博學位學程),另設約50個各學術領域之國際級、國家級與校級研究中心,是臺灣規模最大的綜合性大學。學生總人數已達3萬4千餘人,其中學士班1萬7千餘人,研究生1萬6千餘人,比例接近一比一。各學院提供完整的知識地圖、豐富的圖書資源、先進的科技設備、暢通的學術鏈結,結合優美的校園環境,共同形成具有吸引力的教學研究環境。本校透過完整的學科領域與豐富多元的學術資源與設施,更鼓勵學生跨領域學習以開拓視野並具備終身學習的知能,在校際拓展姊妹校網絡及雙聯學位合作,並加強建構雙語教學環境。本校除了展現卓越的學術研究成果,也持續讓教學研究單位評鑑、教師評鑑、課程評鑑等制度與時俱進,務使學生能在最佳的環境學習成長。"
113,公立,一般大學,0004,國立臺灣師範大學,4211,52,3982,450,96.16,"本校為綜合型大學,提供國際化、跨領域、社會關懷及科技人文藝術整合的學習環境,將邁向「亞洲頂大」及「國際卓越」的大學。  2024年QS世界大學學科排名,共12個學科入榜,教育及運動2個學科進入全球前百名並名列全國第1,教育學科獲評為全球第27名,並在U.S. News & World Report教育及教育研究學科排名中名列全球第7名；另本校與國際知名大學建立合作關係,現有超過400所姊妹校,每年提供1千個交換機會遍及全球。  2024年本校榮獲教育部認證雙語標竿大學之一,校內成立「雙語教育推動辦公室」及「英文學術素養中心」推動單位,培養學生的專業英語能力。  本校鼓勵學生跨域學習,提供雙主修、輔系、學分學程、出國交換及修雙聯學位等學習機會；更與臺灣大學、臺灣科技大學成立「國立臺灣大學系統」,讓三校學生可以跨校選課及互修學程。每學期達4千人次以上進行跨域學習,培養學生多元跨域整合人才。"
113,公立,一般大學,0005,國立成功大學,6476,16,6488,416,100.00,"本校秉持「窮理致知」校訓,豐厚累積產業及國家經濟發展所需的專業人才,因此素有「企業最愛大學」封號。除了人社、理工、生醫等深廣專業學術課程外,成大亦開創多元彈性的學習制度及模式,導入議題導向及終身學習,培養未來所需的跨域實踐能力及素養,全方位支持學生學習,並積極回應從在地到國際的全方位人才需求。推動交換學生計畫及跨國雙學位合作計畫,致力營造跨越界限的在地國際化世界校園,使學生透過參與海外交換學生、移地教學、短期研究實習、國際學生接待義工、國際工作營、論壇及志工等校內外國際化課程與措施,除追求專業知識能力,同時建立在地文化的自我認同並延伸至全球意識課題,涉獵多元文化,涵養自身競爭力,與國際接軌。"
113,公立,一般大學,0006,國立中興大學,4529,0,4421,216,97.72,"國立中興大學創校已逾百年,培育出無數傑出人才,為國內歷史悠久、根基深厚且師資優秀的綜合型大學,且是中台灣唯一頂尖大學,在農業科學、植物與動物科學、工程、材料科學、電腦科學、化學、生物與生化、臨床醫學、環境/生態學、藥理學與毒理學、一般社會科學11大領域,名列基本科學指標（ESI）全球前1%。本校設有文、農業暨自然資源、理、工、生命科學、獸醫、管理、法政、電資和醫學院等十大學院,另設有循環經濟研究學院,以及提供給社會人士進修的創新產業暨國際學院。研究中心包含生物科技發展中心、前瞻理工科技研究中心、人文社會科學前瞻研究中心、環境保育暨防災科技研究中心、先端產業暨精密製程中心、產學研鏈結中心等中心。除校本部外,另有中興新村南投分部,以及總面積達8千餘公頃之惠蓀、新化、東勢、文山等4大實驗林場、獸醫醫院、農業及動物試驗場等教學研究設施。"
113,公立,一般大學,0007,國立陽明交通大學,5653,15,5746,278,100.00,"國立陽明交通大學為國立陽明大學與國立交通大學於2021年2月1日合併成立。此兩所臺灣頂尖的生物醫學大學及電資理工大學合而為一,被喻為強強聯手,遠見雜誌於2021年評比為「未來十年最具潛力的大學」。陽明校區作為醫學教育改革的先驅者,紮實培育新世代醫牙藥護、生命科學、生醫工程、醫學人文等專業與尖端研究領域之優秀人才,在高齡長照、腫瘤、腦科學、醫學工程等已有深厚基礎,在全球醫療領域有領先地位,和臺北榮民總醫院長期合作,位於宜蘭的附設醫院也積極挑戰成為全方位的醫學中心。交大校區在電子、資通訊與管理、科學與工程等領域為台灣領導者,為台灣半導體及科技產業培養優秀人才,並以發展生醫領域為目標,包含生醫資訊、生醫材料、生醫電子等,期能橫跨電資通訊與生醫,為我國開拓生醫科技產業之先驅。合校後「一樹百穫計畫」,除更新與活化校區外,更因應人工智慧時代對研發人才迫切需要,在智慧醫療與電子工程上為世界開啟嶄新篇章。"
113,公立,一般大學,0008,國立中央大學,3792,6,3844,125,100.00,"中央大學設有文、理、工、管理、資訊電機、地球科學、客家、生醫理工、研究學院,共9個學院,大學部23個系、6個院設班別；55個研究所、18個獨立所、12個學位學程,是一所科學、人文薈萃的綜合大學。目前學生人數約12,000人,大學生與研究生比例約1：1。  在教學特色與學習資源方面,推動跨域學習與自主學習,並建立數位學習平台,並設有雙聯學位、交換學生計畫、語言文化課程、海外暑期實習等,以培養學生國際移動力,以及與清華大學、陽明交通大學、政治大學共組台灣聯合大學系統,整合教育、研究、行政及圖儀等豐富多元的教學資源。  在生活及助學方面,以「學習取代工讀」為宗旨,設立安心就學支持計畫,設有向日葵助學金、安心學習助學金與多項學習獎勵金,另每學期提供約有150項校內外獎助學金可申請,並設有一對一課輔、各系課後輔導等個別化課業輔導,以及導師晤談、宿舍導師等生活關懷措施。"
113,公立,一般大學,0009,國立中山大學,3275,12,3069,188,94.38,"國立中山大學位於高雄港灣,憑藉「山海合一」的地理優勢與「國際化的校園氛圍」吸引全球多元背景的學生就讀。作為高屏地區的頂尖研究型大學,中山大學以跨領域學習為核心,重視全人教育、創新教學及SDGs目標。透過繁星、南星、西灣南星及特殊選才等招生管道,拓展經濟或文化不利學生的入學機會,並提供經濟支持與個性化學習輔導,以培育具全球視野的專業人才。    中山大學設有豐富的跨領域課程與專業學位學程,提升學生的國際移動力。作為教育部雙語重點培育大學,本校積極推動雙語教學,培養學生英文能力並鼓勵參與國際交流,拓展國際網絡。同時,設有國際金融、半導體及重點科技研究學院,並連結在地及國際產業,建立國際合作研究平台,為產學合作注入動力。未來,中山大學將秉持「藝文與包容、前瞻與創新」的願景,致力成為南臺灣的知識創意引擎,培育具前瞻思維的領袖,推動南台灣產業、學術及文化發展,邁向國際頂尖大學的目標。"
113,公立,一般大學,0012,國立臺灣海洋大學,2623,3,2316,156,89.05,"本校位於大臺北地區之基隆市,有獨特的龍崗生態園區與雨水公園,學術氛圍、生活機能與學習環境極優。本校設有7個學院、22個學系、16個獨立研究所、31個碩士班、19個博士班、14個碩士在職專班、3個進修學士班與師培中心,另設有商船及輪機學士後多元專長培力課程專班。海洋的領域浩瀚,本校不論是海洋海事水產、海洋工程（如離岸風電）、航運管理、輪機造船、海洋觀光休閒與文創、海洋探勘與考古、海洋生物、環境保育以及海洋法律等,從科技到人文領域,本校都有足夠資源,讓同學成為各個海洋專業領域的翹楚。本校辦學績優,不僅獲Cheers雜誌評選為「TOP30」企業最愛大學畢業生,2024年英國泰晤士高等教育（THE）世界大學排名全球801至1000區間、2023年世界大學綜合排名全國第12名,也連續榮獲教育部「高等教育深耕計畫」經費補助,為全球最具完整海洋特色且大學排名最前面之「國際化的頂尖海洋高等學府」。"
