學年度,設立別,學校類別,學校統計處代碼,學校名稱,當學年度全校總量內核定新生招生名額(A),當學年度全校新生保留入學資格人數(B),當學年度全校總量內新生招生核定名額之實際註冊人數(C),當學年度全校境外(新生)學生實際註冊人數(D),當學年度全校新生註冊率(％)E=〔(C+D)/(A-B+D)〕*100％,當學年度全校招生特色說明
106,公立,一般大學,0001,國立政治大學,4110,30,3853,...,94.44,本校是臺灣最具人文社會科學特色之綜合大學，並以打造國際一流人文社會學術殿堂為願景，更以培育具有人文法治素養、淑世利他情懷、文化融合力及視野國際化的領導與研究人才。除具有依山傍水之校園環境外，校內師資陣容強大，具有專業領域，學術卓越研究豐富，於2016年遠見雜誌“台灣最佳大學”22項評比中，本校排名第7名，2016年QS世界科目排名，亞洲排名第95名，2017年QS世界大學排名中，以政治與國際研究學科進入前100排名。另，本校締約姊妹校有670餘所，遍及七大地區，每年吸引超過2000人跨國學生來校就讀，且本校超過十分之一的學生有出國學習經驗，並鼓勵師生出國交換進修。此外，校內提供多達26種語言課程，打造多元語言學習環境，且本校全球傑出校友超過10萬人，於政府部門、企業界或藝術媒體界皆具其專業領域發展與成就。
106,公立,一般大學,0002,國立清華大學,4581,55,4280,...,94.56,一、本校設有各類獎學金，特色獎學金如：還願獎學金、逐夢獎學金，兩者申請皆金額不限，申請不需成績優異、不限申請次數。 二、本校在多項學術指標如：國內大學學術聲譽排名、理工學院聲譽排名、最佳研究所排名、國內企業最愛的大學生等評比上均名列前茅。2015年英國QS世界大學排名，本校躍升至155名，較去年又進步12名，表現為全國數一數二之成績。 三、本校致力推動全球化，目前本校簽有學術合作合約之大學／機構共計有224所，包含亞洲137所、美洲29所、歐洲50所、大洋洲4所及非洲4所。在雙聯學位部分，本校有與瑞典林學平大學、美國凱斯西儲大學、法國n+i、大陸北京清華大學及英國利物浦大學等世界多所知名大學合作且陸續增加中。四、本校學士班提供新生各管道入學之低收、中低收及特殊境遇家庭子女「旭日獎學金」，入學後得依本校「旭日獎學金施行要點」提出申請，經該委員會審議通過後核發，獎學金每年申請一次，最多四年。
106,公立,一般大學,0003,國立臺灣大學,8537,37,8021,...,94.36,"本校目前已有11個學院，以及3個專業學院（牙醫、獸醫、藥學），共54學系、126個研究所（含18個碩、博士學位學程），另設有30餘個各學術領域之國家級或校級研究中心，是臺灣規模最大的綜合性大學。學生總人數現今已達33,000多人，其中大學部近18,000人，研究生15,000餘人，比例接近一比一，已經成功轉型為研究型大學。  各學院提供完整的知識地圖、豐富的圖書資源、先進的科技設備、暢通的學術鏈結，結合優美的校園環境、藝文的校園氣氛，共同形成具有吸引力的教學研究環境。  本校不僅提供豐富多元的學術資源與設施，更鼓勵學生開拓視野、多元學習；在校內加強通識教育，在校際拓展姊妹校網絡，並加強建構雙語教學環境。本校除了展現卓越的學術研究成果，也努力改善教育評鑑制度，注重教學與學習的成效，務使學生能在最佳的環境學習成長。"
106,公立,一般大學,0004,國立臺灣師範大學,4030,76,3673,...,92.89,國立臺灣師範大學傳承優良歷史，在既有豐沛人文素養基礎上積極創新，致力發展多元化與國際化，2017年QS世界大學排名全球第289名，全亞洲第56名，為全球進步名次最多的三所大學之一，突顯出本校無論在國際或地區的表現皆大幅躍進。本校國際學生比例全國第一，學術聲譽評比全國第四，教育領域全球第22名、運動科學體育領域全球第7名，語言學、現代語言、英語文學、電機工程、資訊科學、化學、機械工程、物理及天文學等皆名列全球學科排名。現有9個學院51個系所，各有特色，錄取率、註冊率表現亮眼。領先的學習制度，率先推動基礎學科免修認證、降低各系必選修學分、推動跨校學分學程，為學生創造跨域空間，開放大學部上修研究所課程、學碩五年連休，以及推動總整課程，讓學習加深加廣，以接軌未來研究或職涯發展，畢業生遍及各行各業，充分就業貢獻所學。
106,公立,一般大學,0005,國立成功大學,6371,38,5911,...,93.34,本校為擁有 9 個學院之綜合大學，設文學院、理學院、工學院、電機資訊學院、規劃與設計學院、管理學院、醫學院、社會科學院、生物科學與科技學院等 9 個學院，並有一千餘名專任教師，專業領域既廣且深，提供各領域課程絕佳之師資陣容，建立完整的學術領域。另由通識教育中心所規劃之課程內容涵蓋國文、外國語言、公民與歷史、哲學與藝術、人文學、社會科學、自然與工程科學、生命科學與健康、科際整合及融合通識等，提供各學院同學能夠適性自由選修，構築跨領域學習之殿堂，讓學生的潛力得到最大最廣的發展。
106,公立,一般大學,0006,國立中興大學,4471,0,4156,...,92.95,國立中興大學創校已近百年，培育出無數傑出人才，為國內少數歷史悠久、根基深厚且師資優秀的綜合型大學。本校現有文學院、農業暨自然資源學院、理學院、工學院、生命科學院、獸醫學院、管理學院和法政學院8個學院，以及提供給社會人士進修的創新產業暨國際學院。另設有生物科技發展中心、奈米科技中心、環境保育暨防災科技研究中心、先端產業暨精密製程中心、人文與社會科學研究中心、產學智財營運中心等中心。除校本部外，另有總面積達8千餘公頃之惠蓀、新化、東勢、文山等4大實驗林場、獸醫醫院、農業及動物試驗場等教學研究設施。中興大學以「培育兼具人文與科學素養、溝通與創新能力、國際視野與社會關懷之菁英人才」為教育目標，在農業科學、植物與動物科學、工程、材料科學、電腦科學、化學、生物與生化、臨床醫學、環境/生態學、藥理學與毒理學、一般社會科學11大領域，名列基本科學指標（ESI）全球前1%，且為中台灣唯一頂尖大學。
106,公立,一般大學,0007,國立陽明交通大學,4201,20,3962,...,94.76,學校未提供說明
106,公立,一般大學,0008,國立中央大學,3713,26,3439,...,93.27,中央大學設有文、理、工、管理、資訊電機、地球科學、客家、生醫理工，共8所學院，大學部27個系組、3個院學士班；研究所50個碩士班、4個碩士學位學程、21個碩士在職專班，以及39個博士班、4個博士學位學程，是一所科學、人文薈萃的綜合大學。目前學生人數約1萬2000人，大學生與研究生比例約1：1。  在教學特色方面，啟動第二專長制及建立跨領域學分學程，強化學生競爭力，創新「雲端教學服務系統」，塑造中大π型人，並設有雙聯學位、交換學生計畫、語言文化課程、暑期實習等以培養學生國際移動力，以及與清大、交大、陽明大學共組台灣聯合大學系統，整合教育、研究、行政及圖書等豐富多元的教學資源。  在學習及生活資源方面，保障大一新生100%住宿、設有課後輔導機制、不定期舉辦展演活動、每學期提供約有150項校內外獎助學金申請，以及多項清寒補助等助學措施。
106,公立,一般大學,0009,國立中山大學,2983,14,2652,...,89.32,中山大學位在高雄市西子灣，依山面海，為全國唯一具有校內海岸線的大學，融合自然與學術於一堂，是一個能培育學生山海胸襟、熱情洋溢情懷，形塑想像未來、勇於追夢的優質校園。  本校有文、理、工、管理、海洋科學、社會科學等六個學院，是一所人文與科技並重之精緻研究型大學，為邁向頂尖大學計畫學校，藉由教學、研究資源優勢，發展為南台灣學術重鎮及高雄在地智庫，推動地區發展，並能使學生有更多參與解決現實問題之實踐機會，以成為莘莘學子嚮往及優秀人才聚集的國際一流大學。  本校以研究能量發展共學群跨領域學習，參與臺綜大系統、EUTW（歐盟中心）七校聯盟、及與高醫攻頂聯盟等，開拓學生多元及跨域學習機會。  本校2017-18《泰晤士高教世界大學排名》全臺排名第5、2018《QS世界大學排名》亞洲65、2017-18《U.S. News全球最佳大學排名》全臺第6。
106,公立,一般大學,0012,國立臺灣海洋大學,2580,7,2225,...,86.47,本校歷史悠久，自1953年創校以來，辦學績優，連續獲教育部「教學卓越計畫」及「邁向頂尖大學計畫」，為全球最具完整海洋特色且大學排名最前面之「國際化的頂尖海洋高等學府」。共有7個學院，22個學系，12個獨立研究所，28個碩士班，20個博士班，11個碩士在職專班，3個進修學士班。本校不僅具有「海洋海事水產」之專業特色，亦設有光電、電機、資工、通訊、機械、海洋工程、生科、運輸、食品、海洋生技、經濟、教育、海洋文化、海洋管理、法政、英語、觀光與文創設計等重要系所。在商船、輪機、航管、運輸、河工、造船、海洋、食品與食品安全、養殖、漁業、海洋生物與生態、海洋事務等領域尤其著名。畢業校友將近8萬人，校友在各行業皆有傑出表現。本校已發展成為一所以專業及海洋為最大特色的「社會上不可或缺的學校」及「令人感動的學校」，秉持「活力創新、海大躍進、海大精進」理念，朝「國際級的海洋頂尖大學」邁進。（共400字）
